,total_passes,successful_passes,pass_completion_pct,passes_into_final_third,progressive_carries,total_pressured_receipts,successful_pressured_receipts,pressure_receipt_pct,total_pressures,final_third_pressures,counterpressures,high_ball_recoveries,avg_defensive_distance,successful_long_passes,total_pass_distance,total_forward_distance,pass_directness_ratio,explosive_carries,total_shots,total_xg,avg_shot_quality,touches_in_box,aerial_duels_won,avg_receipt_distance_from_goal,minutes_played,total_passes_per90,successful_passes_per90,passes_into_final_third_per90,progressive_carries_per90,total_pressured_receipts_per90,successful_pressured_receipts_per90,total_pressures_per90,final_third_pressures_per90,counterpressures_per90,high_ball_recoveries_per90,successful_long_passes_per90,total_pass_distance_per90,total_forward_distance_per90,explosive_carries_per90,total_shots_per90,total_xg_per90,touches_in_box_per90,aerial_duels_won_per90,team_name,primary_position,competition,season
Alberto Grassi,381.0,294.0,0.7716535433070866,24.0,18.0,52.0,48.0,0.9230769230769231,206.10692691770439,43.998826071679424,61.983371917534704,32.593847683577025,44.50561797752809,21.0,6220.798459753488,2776.0,0.44624496645564127,28.0,16.0,0.9961642049,0.06226026280625,54.0,27.0,55.02373146925424,985,34.81218274111675,26.86294416243655,2.1928934010152283,1.6446700507614214,4.751269035532995,4.385786802030457,18.832104997556744,4.020197306041775,5.66345530210977,2.9781180624588144,1.9187817258883249,568.3978288099634,253.64467005076145,2.5583756345177666,1.4619289340101524,0.091020079635533,4.934010152284264,2.467005076142132,Atalanta,Right Center Midfield,Serie A,2015/2016
Alberto Paloschi,382.0,243.0,0.6361256544502618,14.0,18.0,109.0,104.0,0.9541284403669725,263.4332791123825,119.73490516782115,61.06963652331906,32.167113237340914,70.46704545454546,7.0,5514.793658296394,2014.3,0.3652539196946579,22.0,41.0,9.464600239,0.23084390826829265,263.0,17.0,43.28135697651738,1722,19.965156794425088,12.70034843205575,0.7317073170731708,0.9407665505226481,5.696864111498257,5.435540069686412,13.768289849079224,6.257921872882639,3.191792849650822,1.6812080089202568,0.3658536585365854,288.2296337088708,105.27700348432056,1.1498257839721255,2.142857142857143,0.49466551771777,13.745644599303136,0.8885017421602788,Chievo,Right Center Forward,Serie A,2015/2016
Alberto Pelagotti,181.0,130.0,0.7182320441988951,0.0,1.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,6669.1270587125555,5199.4,0.7796222735339099,1.0,0.0,0.0,0.0,0.0,0.0,110.71461642327411,562,28.98576512455516,20.818505338078293,0.0,0.16014234875444838,1.1209964412811388,1.1209964412811388,0.0,0.0,0.0,0.0,7.206405693950178,1068.0096713240748,832.644128113879,0.16014234875444838,0.0,0.0,0.0,0.0,Empoli,Goalkeeper,Serie A,2015/2016
Aleandro Rosi,950.0,686.0,0.7221052631578947,53.0,93.0,48.0,46.0,0.9583333333333334,262.09844519913196,50.27884483461221,48.48334810246451,42.39227908941707,29.686802030456853,78.0,19022.893868548515,9645.7,0.5070574470242779,103.0,15.0,0.7323875056,0.04882583370666667,55.0,55.0,60.69900889786273,2245,38.084632516703785,27.501113585746104,2.1247216035634744,3.728285077951002,1.9242761692650334,1.844097995545657,10.507287335377228,2.015632977779554,1.9436531533281987,1.6994677585957847,3.1269487750556793,762.6104446188715,386.6873051224945,4.129175946547884,0.6013363028953229,0.029360746326948777,2.2048997772828507,2.2048997772828507,Frosinone,Right Back,Serie A,2015/2016
Alejandro Darío Gómez,1414.0,961.0,0.6796322489391796,79.0,268.0,179.0,170.0,0.9497206703910615,378.20160945332,123.82114922114836,78.15033642968272,99.219930485971,60.41293103448275,109.0,27403.86223059795,9661.1,0.35254519668446005,254.0,87.0,5.957725376,0.0684796020229885,246.0,16.0,52.15858543826746,2899,43.89789582614694,29.834425664022074,2.452569851672991,8.320110382890652,5.557088651259055,5.2776819592963085,11.741340065815384,3.844050855434064,2.4261918863992564,3.0803013948731945,3.38392549154881,850.7580547615784,299.93066574680927,7.885477750948604,2.7009313556398755,0.18495870432562952,7.637116246981718,0.4967230079337702,Atalanta,Left Wing,Serie A,2015/2016
Aleksandar Tonev,270.0,171.0,0.6333333333333333,9.0,57.0,49.0,47.0,0.9591836734693877,104.25805277632276,42.32249370865711,18.87282951510481,14.805297691138957,50.15423728813559,21.0,4978.99115826788,1845.1,0.37057707904062315,66.0,32.0,0.97437269,0.0304491465625,37.0,6.0,51.35426314814926,1133,21.44748455428067,13.583406884377759,0.7149161518093556,4.527802294792586,3.892321270962048,3.733451015004413,8.281751765109487,3.361892704129868,1.4991656278547512,1.1760607168601114,1.6681376875551632,395.5067998624088,146.5657546337158,5.242718446601942,2.5419240953221536,0.07739941932921449,2.93909973521624,0.47661076787290385,Frosinone,Right Wing,Serie A,2015/2016
Aleksandar Trajkovski,553.0,410.0,0.7414104882459313,19.0,87.0,140.0,136.0,0.9714285714285714,273.4948345525413,81.40720735067003,54.14271961191936,39.562885494339966,66.36307692307693,32.0,9260.625806986176,2448.1,0.2643557844819908,89.0,39.0,2.7201598393,0.06974768818717948,157.0,21.0,47.278746186953406,1725,28.85217391304348,21.391304347826086,0.991304347826087,4.539130434782609,7.304347826086956,7.095652173913043,14.269295715784763,4.247332557426263,2.824837544969706,2.064150547530781,1.6695652173913043,483.1630855818874,127.72695652173913,4.643478260869565,2.0347826086956524,0.14192138292,8.191304347826087,1.0956521739130434,Palermo,Left Center Forward,Serie A,2015/2016
Alessandro Diamanti,603.0,390.0,0.6467661691542289,49.0,48.0,100.0,99.0,0.99,148.27098899679112,39.42433610906121,29.944656304050962,35.21348886783777,56.22,75.0,14205.822908794551,6380.6,0.4491538463463383,43.0,24.0,1.4892472099,0.062051967079166666,46.0,4.0,53.996333337628506,887,61.18376550169109,39.57158962795941,4.971815107102593,4.870349492671927,10.146561443066515,10.045095828635851,15.044407000801803,4.0002144868269545,3.038352950805622,3.572958284222547,7.609921082299887,1441.402549934058,647.4114994363022,4.363021420518602,2.4351747463359636,0.15110738319165729,4.667418263810597,0.4058624577226606,Atalanta,Center Attacking Midfield,Serie A,2015/2016
Alessandro Florenzi,1879.0,1451.0,0.7722192655667909,153.0,172.0,66.0,63.0,0.9545454545454546,554.8280239045349,138.81999337804282,125.87057617718081,97.80310059230578,38.44414414414415,231.0,40522.72306474308,19328.3,0.4769743624859369,162.0,48.0,3.2580288607,0.06787560126458334,156.0,34.0,61.97733436593597,2814,60.09594882729211,46.40724946695096,4.893390191897655,5.501066098081024,2.1108742004264394,2.014925373134328,17.745032747479794,4.439871856440602,4.025711391594269,3.128030935788032,7.388059701492537,1296.0359189150238,618.1759061833689,5.181236673773987,1.535181236673774,0.10420134948933903,4.9893390191897655,1.0874200426439231,AS Roma,Right Back,Serie A,2015/2016
Alessandro Frara,449.0,299.0,0.6659242761692651,24.0,40.0,31.0,29.0,0.9354838709677419,130.32362340773565,22.954776869067327,22.67987147088404,17.059390773784678,40.50684931506849,31.0,9265.44842048132,4991.5,0.5387219024355329,58.0,12.0,1.0560061570000001,0.08800051308333334,38.0,34.0,59.35366231242617,1204,33.56312292358804,22.35049833887043,1.7940199335548173,2.990033222591362,2.3172757475083055,2.1677740863787376,9.741799091940372,1.7158886363920758,1.6953392295511327,1.2752036292696187,2.3172757475083055,692.5999649861452,373.1187707641196,4.335548172757475,0.8970099667774086,0.07893733731727576,2.840531561461794,2.5415282392026577,Frosinone,Left Center Midfield,Serie A,2015/2016
